-2.076,-0.484
-2.050,-0.461
-2.025,-0.439
-2.000,-0.416
-1.975,-0.393
-1.950,-0.370
-1.925,-0.346
-1.899,-0.323
-1.874,-0.299
-1.849,-0.275
-1.824,-0.250
-1.799,-0.226
-1.774,-0.201
-1.748,-0.177
-1.723,-0.152
-1.698,-0.127
-1.673,-0.102
-1.648,-0.077
-1.623,-0.052
-1.598,-0.027
-1.572,-0.002
-1.547,0.024
-1.522,0.049
-1.497,0.074
-1.472,0.099
-1.447,0.124
-1.421,0.149
-1.396,0.174
-1.371,0.198
-1.346,0.223
-1.321,0.247
-1.296,0.272
-1.270,0.296
-1.245,0.320
-1.220,0.343
-1.195,0.367
-1.170,0.390
-1.145,0.413
-1.120,0.436
-1.094,0.459
-1.069,0.481
-1.044,0.503
-1.019,0.524
-0.994,0.546
-0.969,0.566
-0.943,0.587
-0.918,0.607
-0.893,0.627
-0.868,0.646
-0.843,0.665
-0.818,0.684
-0.792,0.702
-0.767,0.720
-0.742,0.737
-0.717,0.754
-0.692,0.770
-0.667,0.786
-0.642,0.801
-0.616,0.816
-0.591,0.830
-0.566,0.844
-0.541,0.857
-0.516,0.870
-0.491,0.882
-0.465,0.894
-0.440,0.905
-0.415,0.915
-0.390,0.925
-0.365,0.934
-0.340,0.943
-0.314,0.951
-0.289,0.958
-0.264,0.965
-0.239,0.972
-0.214,0.977
-0.189,0.982
-0.164,0.987
-0.138,0.990
-0.113,0.994
-0.088,0.996
-0.063,0.998
-0.038,0.999
-0.013,1.000
0.013,1.000
0.038,0.999
0.063,0.998
0.088,0.996
0.113,0.994
0.138,0.990
0.164,0.987
0.189,0.982
0.214,0.977
0.239,0.972
0.264,0.965
0.289,0.958
0.314,0.951
0.340,0.943
0.365,0.934
0.390,0.925
0.415,0.915
0.440,0.905
0.465,0.894
0.491,0.882
0.516,0.870
0.541,0.857
0.566,0.844
0.591,0.830
0.616,0.816
0.642,0.801
0.667,0.786
0.692,0.770
0.717,0.754
0.742,0.737
0.767,0.720
